,Date,Russeltop200,MSCIJapan,SP500IT,SP500HealthCare,SP500Industrial
0,2017-03-11,1.0151923894882202,1.0090467929840088,1.0159180164337158,1.0108857154846191,1.0150712728500366
1,2017-03-12,0.9987994432449341,0.9937699437141418,0.9949605464935303,0.9939380288124084,1.002300500869751
2,2017-03-13,0.9948090314865112,0.997008740901947,0.9945467114448547,0.9915046095848083,0.9965497255325317
3,2017-03-14,0.9892661571502686,0.9866105914115906,0.9852375388145447,0.9852800965309143,0.9906646609306335
4,2017-03-15,0.988674521446228,0.9865498542785645,0.9853112101554871,0.9886808395385742,0.9923255443572998
5,2017-03-16,1.0021764039993286,1.0074896812438965,1.0041446685791016,0.9978520274162292,1.005122184753418
6,2017-03-17,0.9964432120323181,1.0018573999404907,0.9949283003807068,0.9912484884262085,0.9969390034675598
7,2017-03-18,1.012385606765747,1.0063410997390747,1.0145336389541626,1.0078723430633545,1.0115143060684204
8,2017-03-19,0.9995091557502747,0.9934064745903015,0.9961203932762146,0.9943283200263977,1.0032932758331299
9,2017-03-20,0.9943383932113647,0.9952564835548401,0.9936676621437073,0.9905766248703003,0.9967060685157776
10,2017-03-21,0.9862363934516907,0.9828036427497864,0.9816237092018127,0.9822385907173157,0.9879519939422607
11,2017-03-22,0.9961608648300171,0.9933174848556519,0.9926174879074097,0.9961856007575989,0.9997746348381042
12,2017-03-23,1.0042707920074463,1.0088298320770264,1.006314992904663,0.9995126128196716,1.0069189071655273
13,2017-03-24,0.9997097849845886,1.004451870918274,0.9986235499382019,0.9939107298851013,1.0000818967819214
14,2017-03-25,1.0149617195129395,1.0067381858825684,1.0154025554656982,1.0109074115753174,1.0154601335525513
15,2017-03-26,0.9993645548820496,0.9944478273391724,0.9958252310752869,0.993650496006012,1.0031613111495972
16,2017-03-27,0.9933383464813232,0.9951434135437012,0.9919158816337585,0.9905321002006531,0.996236264705658
17,2017-03-28,0.9925180077552795,0.9896957278251648,0.9883853197097778,0.9889765977859497,0.9939285516738892
18,2017-03-29,0.9910321831703186,0.9905468225479126,0.9878841042518616,0.9906910061836243,0.9937059283256531
19,2017-03-30,1.0039459466934204,1.0112948417663574,1.0074114799499512,0.9989254474639893,1.00553297996521
20,2017-03-31,1.0029910802841187,1.0090283155441284,1.0023329257965088,0.9975385665893555,1.0028598308563232
21,2017-04-01,1.015320062637329,1.0083448886871338,1.0168170928955078,1.0109477043151855,1.0154169797897339
22,2017-04-02,1.0019910335540771,0.9980241060256958,0.9983404874801636,0.9969213008880615,1.0054683685302734
23,2017-04-03,0.9750643968582153,0.9764326214790344,0.9740158319473267,0.9717835783958435,0.9778503775596619
24,2017-04-04,0.9012124538421631,0.8987910747528076,0.8969838619232178,0.8979188203811646,0.9027534127235413
25,2017-04-05,0.9898050427436829,0.9869417548179626,0.9865571856498718,0.9895234704017639,0.9935471415519714
26,2017-04-06,1.0032695531845093,1.009891390800476,1.0060300827026367,0.9979032278060913,1.0058540105819702
27,2017-04-07,1.009424090385437,1.0145052671432495,1.0089753866195679,1.004096269607544,1.009466528892517
28,2017-04-08,1.0222961902618408,1.0146812200546265,1.0237268209457397,1.0175031423568726,1.0225248336791992
29,2017-04-09,1.004915714263916,1.0011520385742188,1.0015628337860107,1.0002318620681763,1.008231520652771
30,2017-04-10,0.9940282702445984,0.9952211976051331,0.9921519160270691,0.990481436252594,0.997090756893158
31,2017-04-11,0.9951804876327515,0.9931069612503052,0.9909480214118958,0.991621732711792,0.996333658695221
32,2017-04-12,0.9922226071357727,0.9904896020889282,0.9890459775924683,0.9921507239341736,0.9950773119926453
33,2017-04-13,1.0074142217636108,1.0139720439910889,1.0111279487609863,1.002612829208374,1.0088748931884766
34,2017-04-14,0.9673956036567688,0.9717469215393066,0.9662497043609619,0.9615204334259033,0.9681629538536072
35,2017-04-15,1.0148098468780518,1.008141279220581,1.0161805152893066,1.0104459524154663,1.0145480632781982
36,2017-04-16,1.0037519931793213,0.9989721179008484,0.9994937181472778,0.9981358647346497,1.0078731775283813
37,2017-04-17,0.9921976923942566,0.994825541973114,0.9912273287773132,0.9889721870422363,0.9944494962692261
38,2017-04-18,0.9970592856407166,0.9929941296577454,0.992067813873291,0.9930309653282166,0.9988537430763245
39,2017-04-19,0.9899206757545471,0.987720787525177,0.9869592785835266,0.9896827340126038,0.9931411147117615
40,2017-04-20,1.0044959783554077,1.0108941793441772,1.0069199800491333,1.0003248453140259,1.0067598819732666
41,2017-04-21,1.0022343397140503,1.007682204246521,1.0018948316574097,0.9963723421096802,1.0027990341186523
42,2017-04-22,1.0092638731002808,1.003220558166504,1.0110249519348145,1.0057529211044312,1.00783371925354
43,2017-04-23,1.0034713745117188,0.9988576769828796,0.999832808971405,0.9982560873031616,1.0063402652740479
44,2017-04-24,0.994131863117218,0.9977007508277893,0.9938449263572693,0.9907504916191101,0.9958940148353577
45,2017-04-25,0.993206262588501,0.9899054169654846,0.9887717366218567,0.9892547130584717,0.9948090314865112
46,2017-04-26,0.9885239601135254,0.9869793057441711,0.9854924082756042,0.9889559149742126,0.9921667575836182
47,2017-04-27,1.0225985050201416,1.0289756059646606,1.0260709524154663,1.0175544023513794,1.024896264076233
48,2017-04-28,0.9999604225158691,1.0053890943527222,0.9990186095237732,0.9942787885665894,1.000337839126587
49,2017-04-29,1.0141918659210205,1.0069876909255981,1.0152186155319214,1.0096322298049927,1.0141249895095825
50,2017-04-30,0.9992086291313171,0.9956024885177612,0.9958770871162415,0.9945070147514343,1.0021806955337524
